Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum,Track
Raja K.; Patan M.K.; Ahmed M.A.; Ganeshan P.,"Raja, K. (58180510700); Patan, Muzeeb Khan (57210901897); Ahmed, Md. Azahar (57219339443); Ganeshan, P. (56916031600)",58180510700; 57210901897; 57219339443; 56916031600,Water evaporation algorithm optimized cascade controller for frequency regulation of integrated microgrid,2022,Journal of Intelligent and Fuzzy Systems,43.0,5,,5535.0,5549.0,6.0,10.3233/JIFS-212434,https://www.scopus.com/pages/publications/85140730013?origin=resultslist,"Anna University College of Engineering Dindigul, Tamilnadu, Dindigul, India; Sri Eshwar College of Engineering, Tamilnadu, Coimbatore, India","Raja K., Anna University College of Engineering Dindigul, Tamilnadu, Dindigul, India; Patan M.K., Anna University College of Engineering Dindigul, Tamilnadu, Dindigul, India; Ahmed M.A., Anna University College of Engineering Dindigul, Tamilnadu, Dindigul, India; Ganeshan P., Sri Eshwar College of Engineering, Tamilnadu, Coimbatore, India","Integration of renewable energy sources into existing grid influence the stability of the power system. This article introduces the application of cascade controller in hybrid power system which enhance the frequency stability during power perturbations of the load and generation. For this study, a thermal power unit is considered with integration of a microgrid consist of regular diesel generator, renewable power generating units, energy storage and other power managing devices. Proportional-integral and proportional-integral-derivative (PI-PID) cascade controller is provided for this hybrid power system to reduce the frequency oscillations during system uncertainties. The optimal values of the PI-PID controller are achieved by using water evaporation optimization (WEO) algorithm with fast convergence rate. Investigations are carried out in different scenarios of the IM and results are compared with the PID controller to showcase the advantages of the cascade controller for frequency regulation. Simulations are carried out in MATLAB-SIMULINK® software environment.  © 2022 - IOS Press. All rights reserved.",Frequency control; microgrid; PI-PID cascade controller; water evaporation algorithm,Controllers; Electric control equipment; Electric frequency control; Electric power system control; Evaporation; Fossil fuel power plants; MATLAB; Proportional control systems; Renewable energy resources; System stability; Thermoelectric power plants; Two term control systems; Cascade controller; Frequency control; Frequency regulations; Microgrid; Power; Proportional integral; Proportional integral derivatives; Proportional-integral and proportional-integral-derivative cascade controller; Water evaporation; Water evaporation algorithm; Three term control systems,"M.K. Patan; Anna University College of Engineering Dindigul, Dindigul, Tamilnadu, 624622, India; email: muzeebthegreat@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85140730013,10.3233/jifs-212434,B_Comparison,B
Zhang X.; Xiao H.,"Zhang, Xiwen (58024769400); Xiao, Hui (55586981400)",58024769400; 55586981400,Non-speech emotion recognition based on back propagation feed forward networks,2024,Journal of Intelligent and Fuzzy Systems,46.0,4,,11067.0,11077.0,2.0,10.3233/JIFS-238700,https://www.scopus.com/pages/publications/85193743984?origin=resultslist,"Control Science and Engineering, Tongji University, Shanghai, China","Zhang X., Control Science and Engineering, Tongji University, Shanghai, China; Xiao H., Control Science and Engineering, Tongji University, Shanghai, China","Non-speech emotion recognition involves identifying emotions conveyed through non-verbal vocalizations such as laughter, crying, and other sound signals, which play a crucial role in emotional expression and transmission. This paper employs a nine-category discrete emotion model encompassing happy, sad, angry, peaceful, fearful, loving, hateful, brave, and neutral. A proprietary non-speech dataset comprising 2337 instances was utilized, with 384-dimensional feature vectors extracted. The traditional Backpropagation Neural Network (BPNN) algorithm achieved a recognition rate of 87.7% on the non-speech dataset. In contrast, the proposed Whale Optimization Algorithm - Backpropagation Neural Network (WOA-BPNN) algorithm, applied to a self-made non-speech dataset, demonstrated a remarkable accuracy of 98.6%. Notably, even without facial emotional cues, non-speech sounds effectively convey dynamic information, and the proposed algorithm excels in their recognition. The study underscores the importance of non-speech emotional signals in communication, especially with the continuous advancement of artificial intelligence technology. The abstract thus encapsulates the paper's focus on leveraging AI algorithms for high-precision non-speech emotion recognition. © 2024 - IOS Press. All rights reserved.",emotion classification; emotion recognition; Non-speech; self-made data set; WOA-BPNN,Classification (of information); Feedforward neural networks; Speech communication; Speech recognition; Back-propagation neural networks; Backpropagation neural network algorithms; Data set; Emotion classification; Emotion recognition; Non speech; Optimization algorithms; Self-make data set; Speech emotion recognition; Whale optimization algorithm - backpropagation neural network; Emotion Recognition,"X. Zhang; Control Science and Engineering, Tongji University, Shanghai, China; email: xiwenzhang4@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85193743984,10.3233/jifs-238700,B_Comparison,B
Kaliappan M.; Manimegalai Govindan S.; Kuppusamy M.S.,"Kaliappan, Manikandan (57192706183); Manimegalai Govindan, Sumithra (57718698600); Kuppusamy, Mohana Sundaram (56964289700)",57192706183; 57718698600; 56964289700,Automatic ECG analysis system with hybrid optimization algorithm based feature selection and classifier,2022,Journal of Intelligent and Fuzzy Systems,43.0,1,,627.0,642.0,9.0,10.3233/JIFS-212373,https://www.scopus.com/pages/publications/85131750208?origin=resultslist,"Department of Bio Medical Engineering, Sona College of Technology, Tamilnadu, Salem, India; Department of Ece, Dr. N.G.P Institute of Technology, Tamilnadu, Coimbatore, India; Department of Eee, Kpr Institute of Engineering and Technology, Tamilnadu, Coimbatore, India","Kaliappan M., Department of Bio Medical Engineering, Sona College of Technology, Tamilnadu, Salem, India; Manimegalai Govindan S., Department of Ece, Dr. N.G.P Institute of Technology, Tamilnadu, Coimbatore, India; Kuppusamy M.S., Department of Eee, Kpr Institute of Engineering and Technology, Tamilnadu, Coimbatore, India","Cardio vascular disease threatens human life with higher mortality rate. Therefore it is quite important to monitor. An arrhythmia is an abnormal heart beat and rhythm which causes the disease. The best tool to find the heart rhythm of heart is Electro Cardiogram (ECG) which provides information about the different types of arrhythmias. This paper aims at proposing an automatic framework by employing multi-domain features to classify ECG signals. Proposed work uses optimum method of feature selection to improvise the efficiency of the classification process. A hybrid optimization algorithm is used for feature selection and proposed to optimize the parameters of the existing Support Vector Machine (SVM) classifier. Proposed hybrid optimization algorithm was developed using Particle Swarm Optimization (PSO) and Migration Modified Biogeography Based Optimization (MMBBO) algorithm. Algorithm provides an improved solution to the optimizing the parameters of ECG signals. Results are evaluated by implementing in MATLAB software and the performance is justified with comparative analysis. The proposed framework enhances the process of automatic prediction of various arrhythmias or rhythm abnormalities which performs in gaining better accuracy. For data sets, the average classification accuracy of this method is 97.89%. This result is an improvement of 4-5% over the comparison of other methods.  © 2022 - IOS Press. All rights reserved.",arrhythmia; classification; feature selection; Heart disease; hybrid optimization algorithm; particle swarm optimization,Biomedical signal processing; Classification (of information); Ecology; Electrocardiography; Feature extraction; Heart; Heuristic algorithms; MATLAB; Parameter estimation; Particle swarm optimization (PSO); Support vector machines; Analysis system; Cardiovascular disease; Feature classifiers; Features selection; Heart beats; Heart disease; Human lives; Hybrid optimization algorithm; Mortality rate; Multi-domain features; Diseases,"M. Kaliappan; Department of Ece, Sona College of Technology, Salem, Tamilnadu, India; email: manikandan.bme@sonatech.ac.in",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85131750208,10.3233/jifs-212373,B_Comparison,B
Sandhu M.A.; Amin A.,"Sandhu, Muhammad Abdullah (58304654900); Amin, Asjad (56712324000)",58304654900; 56712324000,Dengue larvae detection and tracking using CNN and kalman filtering,2023,Journal of Intelligent and Fuzzy Systems,44.0,4,,6387.0,6401.0,3.0,10.3233/JIFS-223660,https://www.scopus.com/pages/publications/85161118543?origin=resultslist,"Department of Information and Communication Engineering, The Islamia University, Punjab, Bahawalpur, Pakistan","Sandhu M.A., Department of Information and Communication Engineering, The Islamia University, Punjab, Bahawalpur, Pakistan; Amin A., Department of Information and Communication Engineering, The Islamia University, Punjab, Bahawalpur, Pakistan","During the last decade, dengue fever has emerged as a life-threatening disease. Dengue fever is caused by the bite of the dengue mosquito, and it spreads rapidly especially in the rainy season due to the availability of water carriers inside and outside the living vicinity. In this work, we propose an automated model for dengue larvae detection and tracking using Convolutional Neural Network (CNN) and Kalman filters. Despite substantial literature available on object tracking, no model has been proposed for dengue larvae. We started our work by collecting water areas and dengue larvae datasets as no public datasets were available. Our water areas dataset has 30 videos of different containers and environments. The dengue larvae dataset has 50 short videos of dengue larvae having different locations, backgrounds, and textures. In the first step, we used CNN to detect water areas, and the detected water area is then processed for the detection and tracking of larvae. Next, we propose a Kalman filter-based workflow for dengue larvae detection and tracking. A Gaussian Mixer Model with background subtraction is applied for foreground and object detection. Then we used Kalman filters to track the moving larvae in the experimental videos. The proposed model shows excellent results considering the small size of larvae and the challenging dataset. Subjective and objective experimental results clearly show the superior performance of the proposed model. The feedback received from the health authorities has been encouraging and the work is expected to facilitate the health department in eliminating the dengue.  © 2023 - IOS Press. All rights reserved.",CNN; Dengue larvae; Detection; Kalman Filtering; Tracking,Convolutional neural networks; Object detection; Textures; Convolutional neural network; Dengue fevers; Dengue larva; Detection; Detection and tracking; Kalman-filtering; Larvae detection; Network filtering; Tracking; Water areas; Kalman filters,"M.A. Sandhu; Department of Information and Communication Engineering, The Islamia University, Bahawalpur, Punjab, Pakistan; email: abdullah.sandhu@iub.edu.pk",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85161118543,10.3233/jifs-223660,B_Comparison,B
Alqurashi F.A.; Alsolami F.; Abdel-Khalek S.; Sayed Ali E.; Saeed R.A.,"Alqurashi, Fahad A. (37760990100); Alsolami, F. (55336401100); Abdel-Khalek, S. (6506630609); Sayed Ali, Elmustafa (57221716104); Saeed, Rashid A. (16022855100)",37760990100; 55336401100; 6506630609; 57221716104; 16022855100,Machine learning techniques in internet of UAVs for smart cities applications,2022,Journal of Intelligent and Fuzzy Systems,42.0,4,,3203.0,3226.0,52.0,10.3233/JIFS-211009,https://www.scopus.com/pages/publications/85127451313?origin=resultslist,"Department of Computer Science, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Mathematics, College of Science, Taif University, Taif, Saudi Arabia; Mathematics Department, Faculty of Science, Sohag University, Sohag, Egypt; Department of Electronic Engineering, Sudan University of Science and Technology, Sudan; Department of Computer Engineering, College of Computers and Information Technology, Taif University, Taif, Saudi Arabia","Alqurashi F.A., Department of Computer Science, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Alsolami F., Department of Computer Science, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Abdel-Khalek S., Department of Mathematics, College of Science, Taif University, Taif, Saudi Arabia, Mathematics Department, Faculty of Science, Sohag University, Sohag, Egypt; Sayed Ali E., Department of Electronic Engineering, Sudan University of Science and Technology, Sudan; Saeed R.A., Department of Computer Engineering, College of Computers and Information Technology, Taif University, Taif, Saudi Arabia","Recently, there were much interest in technology which has emerged greatly to the development of smart unmanned systems. Internet of UAV (IoUAV) enables an unmanned aerial vehicle (UAV) to connect with public network, and cooperate with the neighboring environment. It also enables UAV to argument information and gather data about others UAV and infrastructures. Applications related to smart UAV and IoUAV systems are facing many impairments issues. The challenges are related to UAV cloud network, big data processing, energy efficiency in IoUAV, and efficient communication between a large amount of different UAV types, in addition to optimum decisions for intelligence. Artificial Intelligence (AI) technologies such as Machine Learning (ML) mechanisms enable to archives intelligent behavior for unmanned systems. Moreover, it provides a smart solution to enhance IoUAV network efficiency. Decisions in data processing are considered one of the most problematic issues related to UAV especially for the operations related to cloud and fog based network levels. ML enables to resolve some of these issues and optimize the Quality of UAV network experience (QoE). The paper provides theoretical fundamentals for ML models and algorithms for IoUAV applications and recently related works, in addition to future trends.  © 2022 - IOS Press. All rights reserved.",deep learning; IoUAV; machine learning; network optimization; QoE; smart unmanned systems,Antennas; Data handling; Deep learning; Energy efficiency; Smart city; Deep learning; Internet of UAV; Machine learning techniques; Network optimization; Public networks; QoE; Smart unmanned system; UAV systems; Unmanned system; Vehicle clouds; Unmanned aerial vehicles (UAV),"S. Abdel-Khalek; Department of Mathematics, College of Science, Taif University, Taif, PO Box 11099, 21944, Saudi Arabia; email: sayedquantum@yahoo.co.uk",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85127451313,10.3233/jifs-211009,B_Comparison,B
Yuan Y.; Hua L.; Cheng Y.; Li J.; Sang X.; Zhang L.; Wei W.,"Yuan, Yinlong (56942712300); Hua, Liang (35195975900); Cheng, Yun (57195074595); Li, Junhong (36679081400); Sang, Xiaohu (57642788100); Zhang, Lei (57225059424); Wei, Wu (59942400000)",56942712300; 35195975900; 57195074595; 36679081400; 57642788100; 57225059424; 59942400000,A novel model-based reinforcement learning algorithm for solving the problem of unbalanced reward,2023,Journal of Intelligent and Fuzzy Systems,44.0,2,,3233.0,3243.0,2.0,10.3233/JIFS-210956,https://www.scopus.com/pages/publications/85148085684?origin=resultslist,"Department of College of Electrical Engineering, Nantong University, Nantong, China; Department of College of Automation Science and Engineering, South China University of Technology, Guangzhou, China","Yuan Y., Department of College of Electrical Engineering, Nantong University, Nantong, China; Hua L., Department of College of Electrical Engineering, Nantong University, Nantong, China; Cheng Y., Department of College of Electrical Engineering, Nantong University, Nantong, China; Li J., Department of College of Electrical Engineering, Nantong University, Nantong, China; Sang X., Department of College of Electrical Engineering, Nantong University, Nantong, China; Zhang L., Department of College of Electrical Engineering, Nantong University, Nantong, China; Wei W., Department of College of Automation Science and Engineering, South China University of Technology, Guangzhou, China","Reward signal reinforcement learning algorithms can be used to solve sequential learning problems. However, in practice, they still suffer from the problem of reward imbalance, which limits their use in many contexts. To solve this unbalanced reward problem, in this paper, we propose a novel model-based reinforcement learning algorithm called the expected n-step value iteration (EnVI). Unlike traditional model-based reinforcement learning algorithms, the proposed method uses a new return function that changes the discount of future rewards while reducing the influence of the current reward. We evaluated the performance of the proposed algorithm on a Treasure-Hunting game and a Hill-Walking game. The results demonstrate that the proposed algorithm can reduce the negative impact of unbalanced rewards and greatly improve the performance of traditional reinforcement learning algorithms.  © 2023 - IOS Press. All rights reserved.",Model-based learning; Multi-step methods; Reinforcement learning; Unbalanced reward,Iterative methods; Learning algorithms; Learning systems; Algorithm for solving; Learning problem; Model-based reinforcement learning; Modeling-based learning; Multi step methods; Performance; Reinforcement learning algorithms; Reinforcement learnings; Sequential learning; Unbalanced reward; Reinforcement learning,"W. Wei; Department of College of Automation Science and Engineering, South China University of Technology, Guangzhou, 381 Wushan Road, 510641, China; email: weiwu@scut.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85148085684,10.3233/jifs-210956,B_Comparison,B
Xue F.; Liu Y.; Ma X.; Pathak B.; Liang P.,"Xue, Feng (57206193915); Liu, Yongbo (57327247800); Ma, Xiaochen (57557509200); Pathak, Bharat (57219328881); Liang, Peng (57559071700)",57206193915; 57327247800; 57557509200; 57219328881; 57559071700,A hybrid clustering algorithm based on improved GWO and KHM clustering,2022,Journal of Intelligent and Fuzzy Systems,42.0,4,,3227.0,3240.0,3.0,10.3233/JIFS-211034,https://www.scopus.com/pages/publications/85127427569?origin=resultslist,"School of Transportation and Logistics, Southwest Jiao Tong University, Sichuan, Chengdu, China; Graduate School of Tangshan, Southwest Jiao Tong University, Hebei, Tangshan, China; National Engineering Laboratory of Integrated Transportation Big Data Application Technology, Sichuan, Chengdu, China; Transportation and Urban Planning Group, Eindhoven University of Technology, Eindhoven, Netherlands","Xue F., School of Transportation and Logistics, Southwest Jiao Tong University, Sichuan, Chengdu, China, Graduate School of Tangshan, Southwest Jiao Tong University, Hebei, Tangshan, China, National Engineering Laboratory of Integrated Transportation Big Data Application Technology, Sichuan, Chengdu, China; Liu Y., Graduate School of Tangshan, Southwest Jiao Tong University, Hebei, Tangshan, China; Ma X., Transportation and Urban Planning Group, Eindhoven University of Technology, Eindhoven, Netherlands; Pathak B., School of Transportation and Logistics, Southwest Jiao Tong University, Sichuan, Chengdu, China; Liang P., School of Transportation and Logistics, Southwest Jiao Tong University, Sichuan, Chengdu, China","To solve the problem that the K-means algorithm is sensitive to the initial clustering centers and easily falls into local optima, we propose a new hybrid clustering algorithm called the IGWOKHM algorithm. In this paper, we first propose an improved strategy based on a nonlinear convergence factor, an inertial step size, and a dynamic weight to improve the search ability of the traditional grey wolf optimization (GWO) algorithm. Then, the improved GWO (IGWO) algorithm and the K-harmonic means (KHM) algorithm are fused to solve the clustering problem. This fusion clustering algorithm is called IGWOKHM, and it combines the global search ability of IGWO with the local fast optimization ability of KHM to both solve the problem of the K-means algorithm's sensitivity to the initial clustering centers and address the shortcomings of KHM. The experimental results on 8 test functions and 4 University of California Irvine (UCI) datasets show that the IGWO algorithm greatly improves the efficiency of the model while ensuring the stability of the algorithm. The fusion clustering algorithm can effectively overcome the inadequacies of the K-means algorithm and has a good global optimization ability.  © 2022 - IOS Press. All rights reserved.",dynamic weight; Grey wolf optimization algorithm; hybrid clustering; inertial step size; K-harmonic means clustering; nonlinear convergence factor,Global optimization; Convergence factor; Dynamic weight; Gray wolf optimization algorithm; Gray wolves; Hybrid clustering; Inertial step size; K-harmonic means clustering; Nonlinear convergence; Nonlinear convergence factor; Optimization algorithms; Step size; K-means clustering,"F. Xue; School of Transportation and Logistics, Southwest Jiao Tong University, Chengdu, Sichuan, China; email: xuefeng.7@swjtu.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85127427569,10.3233/jifs-211034,B_Comparison,B
Nghiem T.B.H.; Chu T.-C.,"Nghiem, Thi Bich Ha (57223291342); Chu, Ta-Chung (7401775729)",57223291342; 7401775729,A total distance ranking approach to fuzzy AHP-based MCDM method for selecting sustainable manufacturing facility location,2024,Journal of Intelligent and Fuzzy Systems,46.0,2,,3085.0,3115.0,5.0,10.3233/JIFS-223962,https://www.scopus.com/pages/publications/85185537914?origin=resultslist,"School of Business, International University, Vietnam National University, Ho Chi Minh City, Viet Nam; Department of Industrial Management and Information, Southern Taiwan University of Science and Technology, Taiwan","Nghiem T.B.H., School of Business, International University, Vietnam National University, Ho Chi Minh City, Viet Nam; Chu T.-C., Department of Industrial Management and Information, Southern Taiwan University of Science and Technology, Taiwan","Selecting a sustainable facility location is a crucial strategy for manufacturing companies to achieve long-term success in today’s competitive environment. Various quantitative and qualitative criteria with different importance in a multiple level structure must be considered and aggregated to assist the company in decision-making. How to determine these criteria weights and select the sustainable manufacturing facility locations have become research questions. To resolve this problem, this paper proposes a total distance ranking approach to fuzzy analytic hierarchical process (AHP)-based multiple criteria decision-making (MCDM) method. Currently, the membership functions of fuzzy weighted ratings in the MCDM with a multilevel structure cannot be developed. A ranking method is needed to defuzzify those fuzzy numbers used for fuzzy AHP and qualitative criteria in the MCDM for better executing decision-making procedure. The total distance ranking method related to the centroid on x-axis, centroid on y-axis and the distances of centroids point to the two tangent lines of a fuzzy number are considered in the proposed ranking approach. Formulas of the proposed approach will be presented, and some properties will be investigated to derive formulas for trapezoidal and triangular fuzzy numbers. A comparison with relevant ranking methods will be made to show the advantages of the proposed ranking approach. The proposed ranking approach is then applied to defuzzify the fuzzy numbers used in fuzzy AHP and linguistic values under qualitative criteria to obtain the criteria weights under multi-level structure and crisp values under qualitative criteria, respectively. The final scores of alternatives can be obtained by aggregating crisp criteria values and their corresponding weights by simple additive weighting method to obtain the ranking result. A numerical example will be conducted to show the effectiveness of the proposed model. Finally, a comparison with Best-Worst method (BWM) will be presented to show the persuasiveness of the proposed method. © 2024 – IOS Press. All rights reserved.",fuzzy AHP; MCDM; sustainable manufacturing facility location; tangent line; Total distance,Fuzzy rules; Industrial research; Location; Membership functions; Analytic hierarchical process; Facilities locations; Fuzzy analytic hierarchical process; Manufacturing facility; Multiple criteria decision making; Ranking approach; Sustainable manufacturing; Sustainable manufacturing facility location; Tangent line; Total distances; Decision making,"T.-C. Chu; Department of Industrial Management and Information, Southern Taiwan University of Science and Technology, Taiwan; email: tcchu@stust.edu.tw",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85185537914,10.3233/jifs-223962,B_Comparison,B
Arulalan V.; Premanand V.; Kumar D.,"Arulalan, V. (56809436800); Premanand, V. (56809358400); Kumar, Dhananjay (35411200500)",56809436800; 56809358400; 35411200500,Object detection and tracking using TSM-EFFICIENTDET and JS-KM in adverse weather conditions,2024,Journal of Intelligent and Fuzzy Systems,46.0,1,,2399.0,2413.0,4.0,10.3233/JIFS-233623,https://www.scopus.com/pages/publications/85183457475?origin=resultslist,"Department of Computing Technologies, SRM Institute of Science and Technology, KTR Campus, Tamil Nadu, India; Department of Computer Science and Engineering, Vellore Institute Technology, Chennai Campus, Tamil Nadu, India; Department of Information Technology, Anna University, MIT Campus, India","Arulalan V., Department of Computing Technologies, SRM Institute of Science and Technology, KTR Campus, Tamil Nadu, India; Premanand V., Department of Computer Science and Engineering, Vellore Institute Technology, Chennai Campus, Tamil Nadu, India; Kumar D., Department of Information Technology, Anna University, MIT Campus, India","An efficient model to detect and track the objects in adverse weather is proposed using Tanh Softmax (TSM) EfficientDet and Jaccard Similarity based Kuhn-Munkres (JS-KM) with Pearson-Retinex in this paper. The noises were initially removed using Differential Log Energy Entropy adapted Wiener Filter (DLE-WF). The Log Energy Entropy value was calculated between the pixels instead of calculating the local mean of a pixel in the normal Wiener filter. Also, the segmentation technique was carried out using Fringe Binarization adapted K-Means Algorithm (FBKMA). The movement of segmented objects was detected using the optical flow technique, in which the optical flow was computed using the Horn-Schunck algorithm. After motion estimation, the final step in the proposed system is object tracking. The motion-estimated objects were treated as the target that is initially in the first frame. The target was tracked by JS-KM algorithm in the subsequent frame. At last, the experiential evaluation is conducted to confirm the proposed model's efficacy. The outcomes of Detection in Adverse Weather Nature (DAWN) dataset proved that in comparison to the prevailing models, a better performance was achieved by the proposed methodology.  © 2024-IOS Press. All rights reserved.",adverse weather; Object detection; object tracking; Retinex; weiner filter,Entropy; K-means clustering; Motion estimation; Object recognition; Optical flows; Pixels; Adverse weather; Condition; Energy-entropy; Entropy value; Object detection and tracking; Object Tracking; Objects detection; Retinex; Weiner filters; Wiener filter; Object detection,"V. Arulalan; Department of Computing Technologies, SRM Institute of Science and Technology, KTR Campus, Tamil Nadu, India; email: arulalav@srmist.edu.in",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85183457475,10.3233/jifs-233623,B_Comparison,B
Li J.; Xue S.; Li M.; Shi X.,"Li, Jia (58184325800); Xue, Shuaihao (58184603700); Li, Minghui (57226793929); Shi, Xiaoqiu (57203946765)",58184325800; 58184603700; 57226793929; 57203946765,Research on the performance of harmony search with local search algorithms for solving flexible job-shop scheduling problem,2025,Journal of Intelligent and Fuzzy Systems,48.0,3,,291.0,304.0,3.0,10.3233/JIFS-239142,https://www.scopus.com/pages/publications/105005938689?origin=resultslist,"School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China; State Key Laboratory of Intelligent Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Low Speed Aerodynamics Institute, China Aerodynamics Research and Development Center, Sichuan, Mianyang, China; Key Laboratory of Icing and Anti/De-icing, China Aerodynamics Research and Development Center, Sichuan, Mianyang, China; Mianyang Science and Technology City Intelligent Manufacturing Industry Technology Innovation Institute, Sichuan, Mianyang, China","Li J., School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China; Xue S., School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China; Li M., School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China, Low Speed Aerodynamics Institute, China Aerodynamics Research and Development Center, Sichuan, Mianyang, China, Key Laboratory of Icing and Anti/De-icing, China Aerodynamics Research and Development Center, Sichuan, Mianyang, China; Shi X., School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China, State Key Laboratory of Intelligent Manufacturing Equipment and Technology, School of Mechanical Science and Engineering, Huazhong University of Science and Technology, Wuhan, China, Mianyang Science and Technology City Intelligent Manufacturing Industry Technology Innovation Institute, Sichuan, Mianyang, China","Combining the harmony search algorithm (HS) with the local search algorithm (LS) can prevent the HS from falling into a local optimum. However, how LS affects the performance of HS has not yet been studied systematically. Therefore, in this paper, it is first proposed to combine four frequently used LS with HS to obtain several search algorithms (HSLSs). Then, by taking the flexible job-shop scheduling problem (FJSP) as an example and considering decoding times, study how the parameters of HSLSs affect their performance, where the performance is evaluated by the difference rate based on the decoding times. The simulation results mainly show that (I) as the harmony memory size (HMS) gradually increases, the performance of HSLSs first increases rapidly and then tends to remain unchanged, and HMS is not the larger the better; (II) as harmony memory considering rate increases, the performance continues to improve, while the performance of pitch adjusting rate on HSLSs goes to the opposite; Finally, more benchmark instances are also used to verify the effectiveness of the proposed algorithms. The results of this paper have a certain guiding significance on how to choose LS and other parameters to improve HS for solving FJSP. © 2025 – IOS Press. All rights reserved.",Algorithm analysis; flexible job-shop scheduling problem; harmony search; local search,Learning algorithms; Algorithm analysis; Algorithm for solving; Flexible job-shop scheduling problem; Harmony search; Harmony search algorithms; Local search; Local search algorithm; Memory size; Performance; Search Algorithms; Scheduling algorithms,"X. Shi; School of Manufacturing Science and Engineering, Southwest University of Science and Technology, Mianyang, China; email: xiaoqiu_shi@swust.edu.cn",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-105005938689,10.3233/jifs-239142,B_Comparison,B
